models,Source->Target,AUC,P,R,F1
SM4,PC4->JM1,0.493644052,0.329365079,0.047185901,0.082545997
SM4,PC5->JM1,0.385339527,0.166172783,0.828880045,0.276844204
SM4,CM1->KC1,0.601869435,0.714285714,0.015384615,0.030120482
SM4,JM1->KC1,0.307334405,0.144263909,0.901538462,0.248726655
SM4,KC3->KC1,0.667594145,0.30075188,0.123076923,0.174672489
SM4,MC1->KC1,0.456592972,1,0.003076923,0.006134969
SM4,MC2->KC1,0.577798723,0.404958678,0.150769231,0.219730942
SM4,MW1->KC1,0.624035095,0.525,0.064615385,0.115068493
SM4,PC1->KC1,0.64468488,0.47826087,0.033846154,0.063218391
SM4,PC2->KC1,0.537183686,,0,
SM4,PC3->KC1,0.542937932,0.239130435,0.033846154,0.059299191
SM4,PC4->KC1,0.597538983,0.153288201,0.975384615,0.264939407
SM4,PC5->KC1,0.702120488,0.425742574,0.132307692,0.201877934
SM4,CM1->KC3,0.598238482,1,0.027777778,0.054054054
